hex,name,category,class,utf8_bytes,A,B,C,D,E,F,G,H,I,J,K,L,M,auto_score,semantic_tier,effective_tier,tier_name,notes
U+00AD,SOFT HYPHEN,Cf,zero_width,2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+034F,COMBINING GRAPHEME JOINER,Mn,zero_width,2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,1,1,RELIABLE,
U+115F,HANGUL CHOSEONG FILLER,Lo,script_filler,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+1160,HANGUL JUNGSEONG FILLER,Lo,script_filler,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+17B4,KHMER VOWEL INHERENT AQ,Mn,script_filler,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+17B5,KHMER VOWEL INHERENT AA,Mn,script_filler,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+180B,MONGOLIAN FREE VARIATION SELECTOR ONE,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+180C,MONGOLIAN FREE VARIATION SELECTOR TWO,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+180D,MONGOLIAN FREE VARIATION SELECTOR THREE,Mn,variation_sel,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
U+180E,MONGOLIAN VOWEL SEPARATOR,Cf,script_filler,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,2,2,GOOD,
